ZipCode,Population,LivingArea
00601,17126,urban
00602,37895,urban
00603,49136,urban
00606,5751,urban
00610,26153,urban
00611,1283,rural
00612,64090,urban
00616,10186,urban
00617,22803,urban
00622,7751,urban
00623,39652,urban
00624,21912,urban
00627,32885,urban
00631,1098,rural
00636,1174,rural
00637,23016,urban
00638,17689,urban
00641,24915,urban
00646,36142,urban
00647,5198,urban
00650,14301,urban
00652,3193,suburban
00653,9099,urban
00656,18633,urban
00659,37525,urban
00660,15630,urban
00662,40503,urban
00664,15132,urban
00667,23665,urban
00669,27763,urban
00670,8744,urban
00674,39569,urban
00676,36849,urban
00677,15225,urban
00678,25763,urban
00680,43070,urban
00682,31816,urban
00683,29664,urban
00685,40169,urban
00687,29069,urban
00688,11552,urban
00690,6217,urban
00692,33646,urban
00693,56146,urban
00694,86,rural
00698,34016,urban
00703,25001,urban
00704,7179,urban
00705,24414,urban
00707,10615,urban
00714,16183,urban
00715,2012,rural
00716,27746,urban
00717,14568,urban
00718,23412,urban
00719,29555,urban
00720,20717,urban
00723,16265,urban
00725,79153,urban
00727,52829,urban
00728,39669,urban
00729,48227,urban
00730,33251,urban
00731,11131,urban
00735,11621,urban
00736,46167,urban
00738,30468,urban
00739,35105,urban
00740,2020,rural
00741,3899,suburban
00745,48282,urban
00751,19768,urban
00754,37012,urban
00757,20366,urban
00765,8317,urban
00766,22416,urban
00767,31450,urban
00769,35126,urban
00771,34882,urban
00772,18148,urban
00773,17917,urban
00775,1293,rural
00777,38267,urban
00778,41026,urban
00780,12975,urban
00782,18664,urban
00783,34329,urban
00784,36965,urban
00786,151,rural
00791,47335,urban
00794,28432,urban
00795,44055,urban
00901,8098,urban
00906,171,rural
00907,16620,urban
00909,5007,urban
00911,7347,urban
00912,6233,urban
00913,7460,urban
00915,25585,urban
00917,18504,urban
00918,15393,urban
00920,17249,urban
00921,32958,urban
00923,25915,urban
00924,48016,urban
00925,6128,urban
00926,94560,urban
00927,13662,urban
00934,124,rural
00949,69785,urban
00950,0,rural
00951,376,rural
00952,7727,urban
00953,67606,urban
00956,64939,urban
00957,41162,urban
00959,47783,urban
00960,3380,suburban
00961,30842,urban
00962,20066,urban
00965,5392,urban
00966,15737,urban
00968,3683,suburban
00969,42144,urban
00971,27048,urban
00976,61869,urban
00979,17313,urban
00982,14151,urban
00983,32747,urban
00985,32261,urban
00987,54950,urban
01001,16088,urban
01002,27323,urban
01003,13711,urban
01005,4947,suburban
01007,15304,urban
01008,1171,rural
01009,800,rural
01010,3703,suburban
01011,1332,rural
01012,503,rural
01013,22709,urban
01020,30704,urban
01022,2235,rural
01026,1071,rural
01027,17708,urban
01028,16386,urban
01029,511,rural
01030,12627,urban
01031,1577,rural
01032,430,rural
01033,6110,urban
01034,1991,rural
01035,5293,urban
01036,4991,suburban
01037,692,rural
01038,2601,suburban
01039,1675,rural
01040,38480,urban
01050,2593,suburban
01053,2016,rural
01054,1794,rural
01056,21050,urban
01057,8288,urban
01060,14975,urban
01062,9835,urban
01063,2532,suburban
01066,51,rural
01068,1621,rural
01069,8870,urban
01070,621,rural
01071,1280,rural
01072,1374,rural
01073,6158,urban
01074,584,rural
01075,18051,urban
01077,9292,urban
01079,521,rural
01080,2276,rural
01081,1748,rural
01082,10441,urban
01083,2701,suburban
01084,101,rural
01085,41715,urban
01088,663,rural
01089,28814,urban
01092,1248,rural
01093,157,rural
01094,70,rural
01095,14737,urban
01096,2413,rural
01097,64,rural
01098,1042,rural
01103,2168,rural
01104,23226,urban
01105,12527,urban
01106,16150,urban
01107,12387,urban
01108,26257,urban
01109,31242,urban
01118,15073,urban
01119,13803,urban
01128,3232,suburban
01129,5916,urban
01144,0,rural
01151,9640,urban
01201,45372,urban
01220,8161,urban
01222,754,rural
01223,2658,suburban
01224,186,rural
01225,3243,suburban
01226,6356,urban
01229,142,rural
01230,9139,urban
01235,2610,suburban
01236,1632,rural
01237,2332,rural
01238,5626,urban
01240,4926,suburban
01242,279,rural
01243,163,rural
01244,164,rural
01245,771,rural
01247,15405,urban
01253,879,rural
01254,995,rural
01255,865,rural
01256,708,rural
01257,2034,rural
01258,161,rural
01259,720,rural
01260,331,rural
01262,1627,rural
01264,252,rural
01266,920,rural
01267,8166,urban
01270,949,rural
01301,17901,urban
01330,1542,rural
01331,13870,urban
01337,2492,rural
01338,97,rural
01339,1493,rural
01340,1818,rural
01341,1658,rural
01342,1135,rural
01343,152,rural
01344,1697,rural
01346,407,rural
01347,207,rural
01349,715,rural
01350,114,rural
01351,2725,suburban
01354,1708,rural
01355,1010,rural
01360,2899,suburban
01364,7684,urban
01366,1141,rural
01367,473,rural
01368,1461,rural
01370,3690,suburban
01373,5076,urban
01375,3667,suburban
01376,4968,suburban
01378,762,rural
01379,819,rural
01380,47,rural
01420,41766,urban
01430,6316,urban
01431,3189,suburban
01432,7912,urban
01434,2245,rural
01436,3673,suburban
01438,365,rural
01440,21310,urban
01450,11218,urban
01451,5068,urban
01452,4338,suburban
01453,43478,urban
01460,10063,urban
01462,11657,urban
01463,11707,urban
01464,7400,urban
01468,4058,suburban
01469,7479,urban
01473,8148,urban
01474,1665,rural
01475,10292,urban
01501,16684,urban
01503,3326,suburban
01504,9188,urban
01505,4810,suburban
01506,3435,suburban
01507,13312,urban
01510,15221,urban
01515,2040,rural
01516,9186,urban
01518,3299,suburban
01519,7626,urban
01520,16752,urban
01521,2591,suburban
01522,2907,suburban
01523,8359,urban
01524,6296,urban
01525,31,rural
01527,13827,urban
01529,3166,suburban
01531,1052,rural
01532,15605,urban
01534,6169,urban
01535,4757,suburban
01536,7141,urban
01537,1775,rural
01540,11529,urban
01541,3502,suburban
01542,2667,suburban
01543,8988,urban
01545,38291,urban
01550,17643,urban
01560,4773,suburban
01561,69,rural
01562,11963,urban
01564,8015,urban
01566,6507,urban
01568,7826,urban
01569,13948,urban
01570,17664,urban
01571,11890,urban
01581,21213,urban
01583,7607,urban
01585,4864,suburban
01588,10206,urban
01590,9219,urban
01602,26711,urban
01603,20184,urban
01604,40961,urban
01605,30353,urban
01606,22883,urban
01607,8836,urban
01608,4782,suburban
01609,23509,urban
01610,26057,urban
01611,2209,rural
01612,5005,urban
01701,33319,urban
01702,38842,urban
01718,767,rural
01719,5471,urban
01720,23107,urban
01721,18646,urban
01730,14233,urban
01731,1917,rural
01740,5606,urban
01741,5215,urban
01742,18393,urban
01745,538,rural
01746,14386,urban
01747,6012,urban
01748,18501,urban
01749,20032,urban
01752,41505,urban
01754,10702,urban
01756,6212,urban
01757,30294,urban
01760,36354,urban
01770,4406,suburban
01772,9842,urban
01773,5155,urban
01775,7130,urban
01776,18912,urban
01778,14060,urban
01801,40967,urban
01803,26234,urban
01810,35600,urban
01821,31499,urban
01824,26574,urban
01826,32313,urban
01827,3369,suburban
01830,27403,urban
01832,25526,urban
01833,8384,urban
01834,6739,urban
01835,14164,urban
01840,6814,urban
01841,53180,urban
01843,27804,urban
01844,52502,urban
01845,31394,urban
01850,16438,urban
01851,32469,urban
01852,36740,urban
01854,29157,urban
01860,6698,urban
01862,10719,urban
01863,9697,urban
01864,15549,urban
01867,25511,urban
01876,30930,urban
01879,12454,urban
01880,27179,urban
01886,24535,urban
01887,23311,urban
01890,22875,urban
01901,2291,rural
01902,51008,urban
01904,19912,urban
01905,26962,urban
01906,28521,urban
01907,15183,urban
01908,3354,suburban
01913,17286,urban
01915,41545,urban
01921,8265,urban
01922,3929,suburban
01923,27789,urban
01929,3650,suburban
01930,29814,urban
01937,177,rural
01938,13740,urban
01940,13023,urban
01944,5382,urban
01945,20397,urban
01949,9726,urban
01950,18282,urban
01951,2816,suburban
01952,9152,urban
01960,54051,urban
01965,903,rural
01966,7014,urban
01969,6135,urban
01970,44372,urban
01982,7641,urban
01983,6530,urban
01984,5006,urban
01985,4500,suburban
02019,16934,urban
02021,24122,urban
02025,8295,urban
02026,25308,urban
02030,5894,urban
02032,4878,suburban
02035,18431,urban
02038,33057,urban
02043,24061,urban
02045,10120,urban
02047,187,rural
02048,23768,urban
02050,25841,urban
02052,12775,urban
02053,13610,urban
02054,8481,urban
02056,11531,urban
02061,11258,urban
02062,31256,urban
02066,18781,urban
02067,18477,urban
02071,1248,rural
02072,29028,urban
02081,20287,urban
02090,16066,urban
02093,12077,urban
02108,4225,suburban
02109,3627,suburban
02110,2307,rural
02111,7841,urban
02113,6726,urban
02114,13401,urban
02115,28559,urban
02116,22587,urban
02118,27718,urban
02119,28307,urban
02120,15082,urban
02121,29888,urban
02122,23747,urban
02124,56070,urban
02125,32614,urban
02126,25572,urban
02127,35266,urban
02128,45501,urban
02129,20411,urban
02130,41112,urban
02131,32609,urban
02132,26437,urban
02133,0,rural
02134,18437,urban
02135,45024,urban
02136,40947,urban
02138,39370,urban
02139,39707,urban
02140,20060,urban
02141,13953,urban
02142,4172,suburban
02143,25264,urban
02144,25367,urban
02145,27359,urban
02148,65386,urban
02149,48584,urban
02150,40009,urban
02151,60736,urban
02152,19088,urban
02155,62996,urban
02163,2198,rural
02169,60459,urban
02170,20130,urban
02171,19923,urban
02176,29401,urban
02180,23077,urban
02184,38712,urban
02186,28414,urban
02188,16169,urban
02189,15265,urban
02190,17927,urban
02191,7856,urban
02199,1232,rural
02203,0,rural
02205,0,rural
02210,4830,suburban
02215,25856,urban
02301,68571,urban
02302,35645,urban
02322,4740,suburban
02324,25245,urban
02325,3082,suburban
02330,11641,urban
02332,16004,urban
02333,14403,urban
02338,7737,urban
02339,14742,urban
02341,10419,urban
02343,11309,urban
02346,24219,urban
02347,11514,urban
02350,182,rural
02351,16974,urban
02356,11943,urban
02357,1582,rural
02359,18329,urban
02360,60793,urban
02364,13618,urban
02366,194,rural
02367,2934,suburban
02368,34696,urban
02370,17774,urban
02375,11437,urban
02379,7622,urban
02382,15116,urban
02420,15451,urban
02421,18784,urban
02445,21485,urban
02446,31764,urban
02451,17965,urban
02452,16193,urban
02453,30441,urban
02457,1848,rural
02458,12428,urban
02459,19081,urban
02460,9638,urban
02461,6899,urban
02462,1381,rural
02464,3595,suburban
02465,11574,urban
02466,9109,urban
02467,23328,urban
02468,5305,urban
02472,35229,urban
02474,28028,urban
02476,18017,urban
02478,27016,urban
02481,16997,urban
02482,10520,urban
02492,20927,urban
02493,11806,urban
02494,10881,urban
02532,12715,urban
02534,1127,rural
02535,2151,rural
02536,20261,urban
02537,7124,urban
02538,4663,suburban
02539,5084,urban
02540,8888,urban
02542,847,rural
02543,924,rural
02553,30,rural
02554,13585,urban
02556,2457,rural
02557,1762,rural
02558,1779,rural
02559,3307,suburban
02561,1025,rural
02562,3204,suburban
02563,9514,urban
02564,180,rural
02568,8810,urban
02571,10738,urban
02575,2432,rural
02576,3985,suburban
02584,30,rural
02601,17175,urban
02630,1953,rural
02631,10109,urban
02632,12038,urban
02633,4649,suburban
02635,2902,suburban
02637,292,rural
02638,3180,suburban
02639,3439,suburban
02641,178,rural
02642,5674,urban
02643,0,rural
02644,3713,suburban
02645,10845,urban
02646,1801,rural
02647,166,rural
02648,7283,urban
02649,14996,urban
02650,764,rural
02652,990,rural
02653,6276,urban
02655,3341,suburban
02657,3582,suburban
02659,1141,rural
02660,6480,urban
02663,398,rural
02664,9010,urban
02666,585,rural
02667,3907,suburban
02668,2604,suburban
02670,1373,rural
02671,870,rural
02672,153,rural
02673,9351,urban
02675,7178,urban
02702,4383,suburban
02703,46126,urban
02713,34,rural
02715,3531,suburban
02717,4782,suburban
02718,6867,urban
02719,15911,urban
02720,31210,urban
02721,26981,urban
02723,16577,urban
02724,18127,urban
02725,2490,rural
02726,15781,urban
02738,5378,urban
02739,6478,urban
02740,45990,urban
02743,10443,urban
02744,12614,urban
02745,24884,urban
02746,16675,urban
02747,22872,urban
02748,11496,urban
02760,28837,urban
02762,9760,urban
02763,1720,rural
02764,4472,suburban
02766,19270,urban
02767,15255,urban
02769,12434,urban
02770,5702,urban
02771,15339,urban
02777,17020,urban
02779,6724,urban
02780,51911,urban
02790,16237,urban
02791,361,rural
02802,501,rural
02804,2456,rural
02806,17201,urban
02807,1007,rural
